rmse,rmsermse,missing_rate,Dataset,total_missing_percentage,model_accuracy,Method,max_unique_values,% Correlation,total_missing_count,class_imbalance,% categorical feature,min_cardinality,kurtosis,rows_with_missing,avg_cardinality,data_distribution_pvalue,mae,max_missing_per_feature,missing_mechanism,distribution_similarity,mean_abs_correlation,mean_absolute_error,categorical_ratio,missing_rate_actual,avg_missing_per_feature,avg_unique_values,dataset_name,mean_numeric_value,skewness,% cells with missing,correlation_preservation,outlier_ratio,n_samples,num_categorical,Technique Name,precision,min_missing_per_feature,accuracy,n_features,min_unique_values,% continuous feature,r2_score,max_cardinality,% missing diff from expected,std_numeric_value,missing_cols_frac,mean_squared_error,is_categorical_target,num_numeric,model_f1
1.721370022423523,0.5377731863899501,0.1,Balance Scale,9.76,0.784,impute_knn,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.4385245901639343,76,MCAR,0.9864,0.0193770257786611,0.1404,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.0733968503600162,0.0,625,0,impute_knn,0.7577559322033899,45,0.1557377049180328,4,5.0,1.0,0.8553999999999999,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2892,1,4,0.754257053291536
1.4386355101788433,0.4494441010848846,0.1,Balance Scale,9.76,0.792,impute_knn_one_column_at_a_time,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.2172131147540983,76,MCAR,0.96912,0.0193770257786611,0.1187999999999999,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.0726128818796066,0.0,625,0,impute_knn_one_column_at_a_time,0.7799344262295083,45,0.2090163934426229,4,5.0,1.0,0.8989999999999999,5.0,0.0023999999999999,1.4124722689245464,1.0,0.202,1,4,0.7782456140350877
1.4386355101788433,0.4494441010848846,0.1,Balance Scale,9.76,0.792,impute_iterative,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.2172131147540983,76,MCAR,0.96912,0.0193770257786611,0.1187999999999999,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.0726128818796066,0.0,625,0,impute_iterative,0.7799344262295083,45,0.2090163934426229,4,5.0,1.0,0.8989999999999999,5.0,0.0023999999999999,1.4124722689245464,1.0,0.202,1,4,0.7782456140350877
1.7223614357022468,0.5380829137995038,0.1,Balance Scale,9.76,0.784,impute_random_forest,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.4860820870804392,76,MCAR,0.9967525616678796,0.0193770257786611,0.1450416116990508,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.117443122598027,0.0,625,0,impute_random_forest,0.768379645511721,45,0.0,4,5.0,1.0,0.855233388938518,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2895332221229642,1,4,0.7649977846699157
2.0010243278520474,0.6251399843235114,0.1,Balance Scale,9.76,0.688,impute_mice_forest,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.6680327868852458,76,MCAR,0.9936,0.0193770257786611,0.1628,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.1557152135815157,0.0,625,0,impute_mice_forest,0.7213603778827452,45,0.1270491803278688,4,5.0,1.0,0.8046,5.0,0.0023999999999999,1.4124722689245464,1.0,0.3908,1,4,0.6778181818181819
2.290393337255473,0.7155417527999327,0.1,Balance Scale,9.76,0.688,impute_mice_forest_robust,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,2.0,76,MCAR,0.99264,0.0193770257786611,0.1951999999999999,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.0983155337189309,0.0,625,0,impute_mice_forest_robust,0.6775076923076923,45,0.0655737704918032,4,5.0,1.0,0.744,5.0,0.0023999999999999,1.4124722689245464,1.0,0.512,1,4,0.6795580952380952
1.6583123951777,0.5180733538795448,0.1,Balance Scale,9.76,0.768,impute_gan,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.3811475409836065,76,MCAR,0.96896,0.0193770257786611,0.1348,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.0869099445916444,0.0,625,0,impute_gan,0.7718598382749327,45,0.1844262295081967,4,5.0,1.0,0.8658,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2684,1,4,0.7515459236326109
2.3206132598171854,0.7249827584156743,0.1,Balance Scale,9.76,0.728,impute_gain,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.836065573770492,76,MCAR,0.97664,0.0193770257786611,0.1792,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.1932333622331239,0.0,625,0,impute_gain,0.6408251748251749,45,0.2418032786885245,4,5.0,1.0,0.7371999999999999,5.0,0.0023999999999999,1.4124722689245464,1.0,0.5256,1,4,0.7074170560747663
1.453145268897613,0.4539770946181148,0.1,Balance Scale,9.76,0.776,gain_impute,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.2594009564548243,76,MCAR,0.9970200368053,0.0193770257786611,0.1229175388019907,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,,0.0,625,0,gain_impute,0.7681704918032787,45,0.0,4,5.0,1.0,0.8969523987810477,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2060952024379047,1,4,0.7536482939632547
1.7798968472597636,0.5560575509783138,0.1,Balance Scale,9.76,0.808,impute_missforest,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.471311475409836,76,MCAR,0.9816,0.0193770257786611,0.1436,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.0936945302438224,0.0,625,0,impute_missforest,0.7385,45,0.1926229508196721,4,5.0,1.0,0.8454,5.0,0.0023999999999999,1.4124722689245464,1.0,0.3092,1,4,0.780836353178027
